Course_Name,Platform,Domain,Difficulty_level,Language,Program_Type,Certificate_available,Skills
Unmanned Aerial Systems(Uas): Fundamentals,University Of Alaska Fairbanks,Science,Introductory,English,None,No,"Optics, Physics, Research, Emergency Response, Light Detection And Ranging (LiDAR), Unmanned Aerial Systems (UAS), Radar, Electronics, Surveying"
Innovaci„≥N Y Creatividadorganizacional,Tecnol„≥Gico De Monterrey,Business & Management,Advanced,Espa„±Ol,Micromasters‚ÆProgram Ininnovaci„≥N Y Emprendimiento,Yes,"Persistence, Research, Leadership, Business Concepts, Creativity, Problem Solving, Innovation, Management"
Gender Andintersectionality,The University Of Iceland,Humanities,Introductory,English,None,No,Gender Studies
Bienestar Para Eldesarrollo Personal Yprofesional,Universidades An„°Huac,Health & Safety,Intermediate,Espa„±Ol,None,No,"All Terrain Vehicles, Resilience"
Data Science And Machinelearning Capstone Project,Ibm,Data Analysis & Statistics,Intermediate,English,Professional Certificateinpython Data Scienceprofessional Certificateinibm Data Science,Yes,"Model Validation, Machine Learning, Feature Engineering, Data Science, Data Visualization, Python (Programming Language), Data Ingestion"
Advanced Cardiacimaging: Cardiaccomputed Tomography (¬Ä¶,University Of Hong Kong,Medicine,Introductory,English,Professional Certificate Inadvanced Cardiac Imaging,Yes,"Educational Materials, Cardiology, X-Ray Computed Tomography, Life Sciences, Coronary Catheterization, Cardiac Imaging, Consolidated Media Reports, Magnetic Resonance Imaging, Diagnostic Radiology, Radiology"
Worldviews - Fromsustainability Toregeneration,Eth Zurich,Philosophy & Ethics,Introductory,English,None,No,None
Principios De Econom„≠A,Universidad Del Rosario,Economics & Finance,Introductory,Espa„±Ol,None,No,"Microeconomics, Economic Policy, Economic Growth, Economics, Macroeconomics, Decision Making, Economic Indicators"
Protecting Children Inhumanitarian Settings,Columbia University,Social Sciences,Intermediate,English,None,No,"Resilience, Critical Thinking, Influencing Skills, Child Protection, Health Maintenance, Psychology"
Ap‚Æ English Literature &Composition ¬Äì Part 2:Poems,"University Of California, Berkeley",Humanities,Introductory,English,None,No,"Writing, Vocabulary, Creative Writing"
Crisis Resourcemanagement,Columbia University,Health & Safety,Introductory,English,None,No,"Decision Making, Cultural Influences, Customer Relationship Management, Team Management, Presentations, Resource Management, Teamwork, Aviation"
Statistics 1 Part 2:Statistical Methods,The London School Of Economics‚Ä¶,Data Analysis & Statistics,Intermediate,English,Microbachelors Programinmathematics And Statistics Fundamentalsmicrobachelors Programinstatistics Fundamentals,Yes,"Sampling Design, Statistical Hypothesis Testing, Statistical Methods, Social Sciences, Chi-Squared Tests, Linear Regression, Statistics, Management, Contingency Tables, Economics, Basic Math"
C Programming: Pointersand Memory Management,Dartmouth Collegeimt,Computer Science,Introductory,English,Professional Certificate Inc Programming With Linux,Yes,"C Dynamic Memory Allocation, Memory Management, Linux, Programming Concepts"
Psychological Influenceson Decision Making,American Psychological Association,Social Sciences,Introductory,English,Professional Certificate Inpsychology In Action,Yes,"Decision Making, Influencing Skills, Research, Motivational Skills, Group Dynamics, Polarization, Psychology"
Creating Virtual Reality(Vr) Apps,"The University Of California, San‚Ä¶",Computer Science,Intermediate,English,Professional Certificateinvirtual Reality (Vr) App Development,Yes,"Virtual Reality, Graphical User Interface, Programming Environments, Unity Engine, Development Environment, Forecasting, 3d Engine, C# (Programming Language), Stereophonic Sound System, 3D Modeling"
Semiconductors Forbeginners,The National University Of Singap‚Ä¶,Engineering,Introductory,English,None,No,"Electrical Engineering, Insulator, Semiconductors, Materials Science, Electronics, Physics"
"Data Structures &Algorithms Iii: Avl And 2-4Trees, Divide And Conqu‚Ä¶",The Georgia Institute Of Technology,Computer Science,Intermediate,English,Professional Certificate Indata Structures And Algorithms,Yes,"Operations, Balancing (Ledger/Billing), Java (Programming Language), Java Object Oriented Querying, Nodes (Networking), Time Complexity, Algorithms, Sorting, Data Structures, Sorting Algorithm"
Identifying Entrepreneurialopportunities,"The University Of Maryland, Collegepark‚Ä¶",Business & Management,Introductory,English,Professional Certificate Ininnovation And Entrepreneurship,Yes,"Innovation, Sociology, Opportunity Analysis, Psychology, Entrepreneurship"
Natural Resources Forsustainable Development,Sdg Academy,Energy & Earth Sciences,Intermediate,English,None,No,"Sustainable Business, Environmental Science, Corporate Sustainability, Investments, Sustainable Development, Governance, Environmental Laws, Oil And Gas"
Storytelling Andpersuading Using Data Anddigital Technologies,"The University Of Maryland, Collegepark‚Ä¶",Data Analysis & Statistics,Introductory,English,Professional Certificate Intransforming Your Company‚ÄôS Data Analytics: Championing The Digital Enterprise,Yes,"Data Science, Digital Transformation, Data Storytelling, Data Analysis, Machine Learning, Presentations, Data Visualization, Persuasive Communication"
Matem„°Ticas Para La U,Universidad Del Rosario,Math,Introductory,Espa„±Ol,None,No,"Study Skills, Algebra, Calculations, Management, Basic Math, Operations, Problem Solving"
Introduction To Opensource Networkingtechnologies,The Linux Foundation,Computer Science,Introductory,English,None,No,"Network Operating System (NOS), Network Switches, Software Defined Networking (SDN), Systems Engineering, Network Automation, Network Functions Virtualization, Virtualization, Service Provider, Textiles, Linux, Networking Hardware"
Leadership Skillsdevelopment Foroccupational Therapists,University Of Toronto,Medicine,Intermediate,English,None,No,"Occupational Therapy, Self-Awareness, Leadership"
Modelos Predictivos Conmachine Learning,Universidades An„°Huac,Computer Science,Intermediate,Espa„±Ol,Professional Certificate Ininteligencia Artificial Y Rob„≥Ticaprofessional Certificate Inpython Aplicado A La Ciencia De Datos,Yes,"Expert Systems, Python (Programming Language), Forecasting, Predictive Modeling, Unsupervised Learning, Machine Learning, Time Series"
An„°Lisis Del Riesgo Dedesastres Y Cambioclim„°Tico En Proyectos D‚Ä¶,Inter-American Development Bank,Engineering,Advanced,Espa„±Ol,None,No,"Social Development, Climate Analysis, Infrastructure, Resilience, Risk Analysis"
Effective Thinkingthrough Mathematics,The University Of Texas At Austin,Math,Introductory,English,None,No,"Creativity, Basic Math"
Fundamentos De Latecnolog„≠A Blockchain,Pontificia Universidad Javeriana,Economics & Finance,Introductory,Espa„±Ol,Professional Certificateinblockchain: Fundamentos Y Aplicaciones Para La Optimizaci„≥N De Negocios,Yes,"Cryptocurrency, Business Modeling, Information Systems, Blockchain, Bitcoin"
Global Business Andhuman Rights,Zhaw Zurich University Of Applie‚Ä¶,Business & Management,Intermediate,English,None,No,"Supply Chain, Industrialization, Stakeholder Management, International Trade, Economic Development"
Deep Learning Throughtransformative Pedagogy,The University Of Queenslandmicrosoft Education,Education & Teacher Training,Intermediate,English,None,No,"Leadership, Teaching, Lifelong Learning, Innovation, Research, Pedagogy, Cognitive Psychology, Deep Learning"
Machine Learning Forsemiconductor Quantumdevices,Delft University Of Technology,Physics,Advanced,English,Professional Certificateinquantum 301: Quantum Computing With Semiconductor Technology,Yes,None
Circular Economy For Asustainable Builtenvironment,Delft University Of Technology,Architecture,Intermediate,English,None,No,"Business Modeling, Urban Design, Greenhouse Gas, Built Environment, Green Building, Economy, Regional Development, Supply Chain, Energy Consumption"
Administraci„≥N P„∫blica Yfiscal: C„≥Mo Se Gestionaun Gobierno,Inter-American Development Bank,Economics & Finance,Introductory,Espa„±Ol,None,No,Public Administration
Landscape Ecology,Eth Zurich,Environmental Studies,Intermediate,English,None,No,"Landscape Ecology, Land Management, Landscaping, Social Sciences"
Energy Demand Inbuildings,Delft University Of Technology,Architecture,Introductory,English,Professional Certificate Inbuildings As Sustainable Energy Systems,Yes,"Energy Supply, Design Elements And Principles, Building Design, Heat Transfer, Renewable Energy, Electricity, Solar Radiation, Construction, Thermal Management, Thermal Design, HVAC, Ventilation, Operations"
Advanced Timber Platestructural Design,√âCole Polytechnique F„©D„©Rale De L‚Ä¶,Architecture,Advanced,English,None,No,None
Devops And Softwareengineering Capstoneproject,Ibm,Computer Science,Intermediate,English,Professional Certificate Indevops And Software Engineering,Yes,"OpenShift, DevOps, Docker (Software), Behavior-Driven Development, Kubernetes, Agile Methodology, Software Engineering, Cloud-Native Computing, RESTful API, Test-Driven Development (TDD), Microservices, Continuous Integration, Python (Programming Language), Github"
